Chinese,Pinyin,English
一,yī,one
二,èr,two
三,sān,three
四,sì,four
五,wǔ,five
六,liù,six
七,qī,seven
八,bā,eight
九,jiǔ,nine
十,shí,ten
二十,èr shí,twenty
四十,sì shí,forty
五十,wǔ shí,fifty
六十,liù shí,sixty
七十,qī shí,seventy
九十,jiǔ shí,ninety
二百,èr bǎi,two hundred
四百,sì bǎi,four hundred
五百,wǔ bǎi,five hundred
六百,liù bǎi,six hundred
七百,qī bǎi,seven hundred
零,líng,zero
元,yuán,yuan
你好,nǐ hǎo,hello
再见,zài jiàn,goodbye
好,hǎo,good
很高兴,hěn gāo xìng,very happy
认识,rèn shi,to know
叫,jiào,call/be called
姓,xìng,surname
我,wǒ,I/me
你,nǐ,you
他,tā,he/him
她,tā,she/her
我们,wǒ men,we/us
你们,nǐ men,you (plural)
他们,tā men,they/them (male)
她们,tā men,they/them (female)
也,yě,also
吃,chī,eat
喝,hē,drink
水,shuǐ,water
水果,shuǐ guǒ,fruit
咖啡,kā fēi,coffee
和,hé,and
茶,chá,tea
奶茶,nǎi chá,milk tea
绿茶,lǜ chá,green tea
米饭,mǐ fàn,rice
爆米花,bào mǐ huā,popcorn
饭馆,fàn guǎn,restaurant
晚饭,wǎn fàn,dinner
做饭,zuò fàn,cook
汤,tāng,soup
热,rè,hot
热闹,rè nao,lively
这是,zhè shì,this is
这,zhè,this
这里,zhè li,here
还是,hái shi,or
粥,zhōu,porridge
豆腐,dòu fu,tofu
土豆,tǔ dòu,potato
韩国,hán guó,Korea
美国,měi guó,America
中国,zhōng guó,China
英国,yīng guó,UK
中文,zhōng wén,Chinese
日本,rì běn,Japan
是,shì,am/is/are
英文,yīng wén,English
韩文,hán wén,Korean
医生,yī shēng,doctor
学生,xué sheng,student
大学生,dà xué shēng,college student
老师,lǎo shī,teacher
老公,lǎo gong,husband
老婆,lǎo po,wife
老家,lǎo jiā,hometown
律师,lǜ shī,lawyer
对,duì,correct
对不对,duì bu duì,right?
说,shuō,speak
数学,shù xué,math
同学,tóng xué,classmate
喜欢,xǐ huan,like
戏剧,xì jù,drama
课,kè,class
大,dà,big
他,tā,he
她,tā,she
音乐,yīn yuè,music
俱乐部,jù lè bù,club
爸爸,bà ba,dad
儿子,ér zi,son
女儿,nǚ ér,daughter
好玩儿,hǎo wán r,fun
房子,fáng zi,house
桌子,zhuō zi,table
饺子,jiǎo zi,dumpling
盘子,pán zi,plate
杯子,bēi zi,cup
妈妈,mā ma,mother
公园,gōng yuán,park
公寓,gōng yù,apartment
公交车,gōng jiāo chē,bus
爷爷,yé ye,grandfather
零食,líng shí,snack
买,mǎi,buy
看,kàn,read/watch
谢谢,xiè xie,thanks
杯,bēi,cup (measure word)
要,yào,want
冰,bīng,ice
冰箱,bīng xiāng,refrigerator
冰淇淋,bīng qí lín,ice cream
客厅,kè tīng,living room
手机,shǒu jī,cellphone
洗手间,xǐ shǒu jiān,bathroom
手,shǒu,hand
洗碗机,xǐ wǎn jī,dishwasher
现在,xiàn zài,now
钱包,qián bāo,wallet
洗,xǐ,wash
房间,fáng jiān,bedroom
火锅,huǒ guō,hot pot
火车站,huǒ chē zhàn,train station
火车,huǒ chē,train
车票,chē piào,ticket
站台,zhàn tái,platform
哎呀,āi ya,oh no
行李,xíng li,luggage
门票,mén piào,admission ticket
新,xīn,new
有,yǒu,have
有名,yǒu míng,famous
有趣,yǒu qù,interesting
真的吗,zhēn de ma,really?
好的,hǎo de,okay
人们,rén men,people
历史,lì shǐ,history
今天,jīn tiān,today
夏天,xià tiān,summer
冬天,dōng tiān,winter
秋天,qiū tiān,autumn
春天,chūn tiān,spring
运动,yùn dòng,exercise
动物园,dòng wù yuán,zoo
篮球,lán qiú,basketball
排球,pái qiú,volleyball
网球,wǎng qiú,tennis
棒球,bàng qiú,baseball
足球,zú qiú,soccer
打,dǎ,play
比较,bǐ jiào,relatively
健身房,jiàn shēn fáng,gym
厨房,chú fáng,kitchen
只,zhǐ,only
小,xiǎo,small
小心,xiǎo xīn,be careful
卧室,wò shì,bedroom
漂亮,piào liang,beautiful
沙发,shā fā,sofa
舒服,shū fu,comfortable
电视,diàn shì,TV
电影,diàn yǐng,movie
床,chuáng,bed
旧,jiù,old
乱,luàn,messy
北京,běi jīng,Beijing
玩,wán,play
家,jiā,home
冷,lěng,cold
特别,tè bié,especially
长城,cháng chéng,Great Wall
别,bié,don't
故宫,gù gōng,Forbidden City
远,yuǎn,far
贵,guì,expensive
辣,là,spicy
周末,zhōu mò,weekend
快,kuài,fast
地铁,dì tiě,subway
坐,zuò,take (transport)
爱情,ài qíng,romance
一些,yì xiē,some
一起,yì qǐ,together
蛋糕,dàn gāo,cake
果汁,guǒ zhī,juice
带,dài,bring
西红柿,xī hóng shì,tomato
几,jǐ,several
放,fàng,put/add
肉,ròu,meat
多,duō,more
用,yòng,use
碗,wǎn,bowl
会,huì,can
